transfer,execution,Zero$Scenario,negativeScenario,return,reject,approve,transfertype,creditor_identifier,creditor_name,debtor_identifier,debtor_name,amount,reference,address,direction,internal_saving_account_id,deposit_amount,agent_identifier,agent_name,paymentSubType,paymentRail,clientEnvironment,creditor_accountType,debtor_accountType
INTERNAL,yes,,no,,,yes,CREDIT,ID:439,JM_Auto JM_Test,ID:440,JM_AUTO1 JM_Test,1,validation of incoming credit internal transfer with positive amount,17 Robert Lane,IN,439,20,,,,INTERNAL,CheqlyStage,CHECKING,SAVINGS
INTERNAL,yes,,no,,,yes,CREDIT,ID:440,JM_AUTO1 JM_Test,ID:439,JM_Auto JM_Test,1,validation of outgoing credit internal transfer with positive amount,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,SAVINGS,CHECKING
INTERNAL,yes,,no,,,yes,CREDIT,ID:439,JM_Auto JM_Test,ID:438,JM_Auto JM_Test,1.1,Validation of internal transfer between two same clients accounts with decimal amount.,17 Robert Lane,IN,439,20,,,,INTERNAL,CheqlyStage,CHECKING,CHECKING
INTERNAL,yes,,no,,,yes,CREDIT,ID:440,Shyam,ID:439,JM_Auto JM_Test,1,Validation internal transfer with existing internal account number and random non existing creditor client name.,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,CHECKING,CHECKING
INTERNAL,yes,yes,,,,,CREDIT,ID:440,JM_AUTO1 JM_Test,ID:439,JM_Auto JM_Test,0,validation of outgoing credit internal transfer with zero amount.,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,CHECKING,CHECKING
INTERNAL,yes,,yes,,,,CREDIT,ID:4891,JM_AUTO1 JM_Test,ID:439,Jmeter client 2,1,Validation of internal transfer with random non existing creditor internal account number with existing client name.,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,SAVINGS,CHECKING
INTERNAL,yes,,no,,,yes,CREDIT,ID:440,JM_AUTO1 JM_Test,ID:439,Ram B H,1,Validation of internal transfer with existing internal account number and random non existing debtor client name.,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,SAVINGS,CHECKING
INTERNAL,yes,,yes,,,yes,CREDIT,ID:439,JM_AUTO1 JM_Test,ID:4561,JM_Auto JM_Test,1,Validation of internal transfer with non - existing internal debtor account number and existing debtor client name.,17 Robert Lane,OUT,439,20,,,,INTERNAL,CheqlyStage,SAVINGS,SAVINGS
INTERNAL,yes,,no,,,yes,CREDIT,ID:439,JM_Auto JM_Test,ID:440,JM_AUTO1 JM_Test,1,validation of incoming credit internal transfer with positive amount,17 Robert Lane,IN,439,20,,,,INTERNAL,CheqlyStage,CHECKING,SAVINGS
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,1.66669999,validating incoming credit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Cheqly,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,5.555,validating incoming debit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Moonstone,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,2,validating incoming credit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Cheqly,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,1,validating incoming debit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Moonstone,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,0,validating incoming credit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Cheqly,IAT,ACH,CheqlyStage,,
ACHIATPPD,no,yes,,,,,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,0,validating incoming debit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Moonstone,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,qwerty,ACH://321070007/9000450236950,Ram Yadav,1,validating incoming credit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Cheqly,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,lkjhgf,1,validating incoming debit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Moonstone,IAT,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,1.66669999,validating incoming credit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Cheqly,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,5.555,validating incoming debit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Moonstone,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,2,validating incoming credit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Cheqly,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,1,validating incoming debit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Moonstone,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,0,validating incoming credit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Cheqly,PPD,ACH,CheqlyStage,,
ACHIATPPD,no,yes,,,,,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,0,validating incoming debit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Moonstone,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,qwerty,ACH://321070007/9000450236950,Ram Yadav,1,validating incoming credit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Cheqly,PPD,ACH,CheqlyStage,,
ACHIATPPD,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,lkjhgf,1,validating incoming debit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Moonstone,PPD,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,DEBIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,0.64,validating outgoing debit ach with decimal amount,17 Robert Lane,OUT,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,1.66669999,validating incoming credit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,0.64,validating outgoing credit ach with decimal amount,17 Robert Lane,OUT,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,5.555,validating incoming debit ach with decimal amount,17 Robert Lane,IN,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,2,validating incoming credit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,1,validating outgoing credit ach with positive amount,17 Robert Lane,OUT,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,1,validating incoming debit ach with positive amount,17 Robert Lane,IN,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,JM_Auto JM_Test,ACH://321070007/9000450236950,Ram Yadav,0,validating incoming credit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,yes,,,,,CREDIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,0,validating outgoing credit ach with zero amount,17 Robert Lane,OUT,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,no,yes,,,,,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,JM_Auto JM_Test,0,validating incoming debit ach with zero amount,17 Robert Lane,IN,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACCOUNT:9510024976128870,qwerty,ACH://321070007/9000450236950,Ram Yadav,1,validating incoming credit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Cheqly,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,CREDIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,zxcvbn,1,validating outgoing credit ach with existing internal account number and random non existing client name.,17 Robert Lane,OUT,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
ACH,yes,,no,,,yes,DEBIT,ACH://321070007/9000450236950,Ram Yadav,ACCOUNT:9510024976128870,lkjhgf,1,validating incoming debit ach with existing internal account number and random non existing client name.,17 Robert Lane,IN,439,20,321070007,Moonstone,,ACH,CheqlyStage,,
WIRE,yes,,no,,,yes,CREDIT,WIRE://021000018/5187656545361,Madden Allen,ACCOUNT:9510024976128870,JMAutoJMTest,1,validating outgoing credit wire with positive amount,17 Robert Lane,OUT,439,20,,,,WIRE,CheqlyStage,,
SWIFT,yes,,no,,,yes,CREDIT,SWIFT://CITILULX/LU210340007000190877,TD Corporation Sarl,ACCOUNT:9510024976128870,JMAutoJMTest,1,Validating outgoing credit SWIFT transfer with positive amount.,17 Robert Lane,OUT,439,20,,,,SWIFT,CheqlyStage,,
